experiment_id,timestamp_utc,relative_time_sec,sample_index,role,device,sample_interval_ms,telemetry_source,bytes_sent_total,bytes_received_total,bytes_sent_delta,bytes_received_delta,cpu_usage_percent,memory_usage_mb,memory_usage_percent,gpu_usage_percent,gpu_memory_used_mb,gpu_memory_total_mb,cpu_power_w,gpu_power_w,system_power_w,cpu_energy_j,gpu_energy_j,system_energy_j
20260820_142704_79edcc8b,2026-08-20T18:27:48.364920+00:00,44.143335133005166,87,server,ubuntu,500,psutil,12915240932,26839603321,188,171,1.3,11550.51953125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:48.865388+00:00,44.64380315801827,88,server,ubuntu,500,psutil,12915241477,26839603714,545,393,1.8,11550.5234375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:49.365897+00:00,45.14431310200598,89,server,ubuntu,500,psutil,12915241884,26839604171,407,457,1.7,11550.7578125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:49.866366+00:00,45.64478111200151,90,server,ubuntu,500,psutil,12915241884,26839604171,0,0,1.7,11550.7578125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:50.366768+00:00,46.145183434011415,91,server,ubuntu,500,psutil,12915242166,26839604303,282,132,1.3,11550.75,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:50.867237+00:00,46.64565174799645,92,server,ubuntu,500,psutil,12915243625,26839605175,1459,872,1.8,11550.75,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:51.367618+00:00,47.146032456017565,93,server,ubuntu,500,psutil,12915243939,26839605335,314,160,1.3,11550.75,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:51.868189+00:00,47.64660439101863,94,server,ubuntu,500,psutil,12915244067,26839605501,128,166,1.3,11550.75,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:52.368650+00:00,48.147065589000704,95,server,ubuntu,500,psutil,12915244161,26839605567,94,66,2.3,11550.75,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:52.869128+00:00,48.64754336999613,96,server,ubuntu,500,psutil,12915244161,26839605567,0,0,1.5,11550.7421875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:53.369713+00:00,49.148128266009735,97,server,ubuntu,500,psutil,12915244255,26839605633,94,66,1.5,11550.8046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:53.870108+00:00,49.64852314401651,98,server,ubuntu,500,psutil,12915244255,26839605633,0,0,1.3,11550.8046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:54.370594+00:00,50.149008661013795,99,server,ubuntu,500,psutil,12915244464,26839605780,209,147,1.5,11551.05078125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:54.871165+00:00,50.64958010299597,100,server,ubuntu,500,psutil,12915244464,26839605780,0,0,1.0,11551.05078125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:55.371625+00:00,51.150040189997526,101,server,ubuntu,500,psutil,12915244558,26839605846,94,66,1.3,11551.05078125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:55.872281+00:00,51.65069643600145,102,server,ubuntu,500,psutil,12915244558,26839605846,0,0,1.3,11551.05078125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:56.372722+00:00,52.15113739899243,103,server,ubuntu,500,psutil,12915244652,26839605846,94,0,1.0,11551.046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:56.873479+00:00,52.65189430199098,104,server,ubuntu,500,psutil,12915245440,26839606565,788,719,1.3,11551.046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:57.373968+00:00,53.152382539003156,105,server,ubuntu,500,psutil,12915245440,26839606565,0,0,2.7,11551.046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:57.874713+00:00,53.65312881601858,106,server,ubuntu,500,psutil,12915245534,26839606631,94,66,1.3,11551.046875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:58.375452+00:00,54.15386721500545,107,server,ubuntu,500,psutil,12915263257,26839612416,17723,5785,1.5,11551.7109375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:58.876204+00:00,54.6546194429975,108,server,ubuntu,500,psutil,12915263445,26839612482,188,66,1.3,11551.7109375,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:59.376613+00:00,55.155027647997485,109,server,ubuntu,500,psutil,12915263445,26839612482,0,0,1.0,11551.95703125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:27:59.877361+00:00,55.655775893013924,110,server,ubuntu,500,psutil,12915263539,26839612548,94,66,1.3,11551.95703125,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:00.378128+00:00,56.15654317199369,111,server,ubuntu,500,psutil,12915263539,26839612548,0,0,1.5,11551.94921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:00.878805+00:00,56.65722025799914,112,server,ubuntu,500,psutil,12915264542,26839613427,1003,879,1.0,11551.94921875,36.2,,,,,,,,,
20260820_142704_79edcc8b,2026-08-20T18:28:01.379412+00:00,57.1578274530184,113,server,ubuntu,500,psutil,12915264856,26839613626,314,199,1.5,11551.94921875,36.2,,,,,,,,,
